,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
41,18,16BIS AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802054,2.425945,16 B Avenue du Général Malleret Joinville 94140 Alfortville,0.66,housenumber,ADRNIVX_0000000270936710,16 B,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
42,3,4BIS AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803447,2.42455,4 B Avenue du Général Malleret Joinville 94140 Alfortville,0.67,housenumber,ADRNIVX_0000000357475584,4 B,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
43,3,8BIS AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803093,2.424927,8 B Avenue du Général Malleret Joinville 94140 Alfortville,0.67,housenumber,ADRNIVX_0000000357475586,8 B,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
44,25,7 CHEMIN DE VILLENEUVE,94140,ALFORTVILLE,48.780739000000004,2.428881,7 Chemin de Villeneuve Saint-Georges 94140 Alfortville,0.68,housenumber,ADRNIVX_0000000270987425,7,Chemin de Villeneuve Saint-Georges,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
45,3,2TER AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803045000000004,2.425002,Avenue du Général Malleret Joinville 94140 Alfortville,0.7,street,94002_XXXX_7560b0,,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
46,18,16A AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802058,2.42595,16 A Avenue du Général Malleret Joinville 94140 Alfortville,0.7,housenumber,ADRNIVX_0000000270936709,16 A,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
47,18,16B AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802054,2.425945,16 B Avenue du Général Malleret Joinville 94140 Alfortville,0.7,housenumber,ADRNIVX_0000000270936710,16 B,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
48,14,2BIS RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811227,2.419273,2 BIS Allée des Prévoyants 94140 Alfortville,0.71,housenumber,ADRNIVX_0000000270913440,2 BIS,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
49,14,3BIS RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811265,2.4193830000000003,3 BIS Allée des Prévoyants 94140 Alfortville,0.71,housenumber,ADRNIVX_0000000270913442,3 BIS,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
50,14,5BIS RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811285,2.419508,5 BIS Allée des Prévoyants 94140 Alfortville,0.71,housenumber,ADRNIVX_0000000270913421,5 BIS,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
51,21,3 RUE DES ALOUETTES,94140,ALFORTVILLE,48.798869,2.4254830000000003,3 Rue des Pâquerettes 94140 Alfortville,0.71,housenumber,ADRNIVX_0000000270946917,3,Rue des Pâquerettes,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
52,3,1 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803667,2.424556,1 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934295,1,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
53,3,10 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803047,2.424977,10 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934308,10,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
54,3,11 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802458,2.42584,11 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934309,11,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
55,3,12 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802908,2.425123,12 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934310,12,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
56,3,13 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802285999999995,2.426016,13 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934311,13,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
57,3,14 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802794,2.425223,14 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270935497,14,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
58,3,2 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803554,2.42442,2 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934312,2,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
59,3,3 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803447,2.424786,3 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934298,3,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
60,3,4 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803399,2.424573,4 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934299,4,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
61,3,5 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803255,2.424988,5 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934301,5,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
62,3,6 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.80328,2.424686,6 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934302,6,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
63,3,7 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802972,2.425288,7 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934304,7,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
64,3,8 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.803141,2.424819,8 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934305,8,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
65,3,9 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802721999999996,2.425555,9 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270934307,9,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
66,8,2QUATER RUE PARMENTIER,94140,ALFORTVILLE,48.806939,2.411659,2 Q Rue Parmentier 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000332164099,2 Q,Rue Parmentier,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
67,18,16 AV DU GAL MALLERET JOINVILLE,94140,ALFORTVILLE,48.802462,2.425605,16 Avenue du Général Malleret Joinville 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000270936708,16,Avenue du Général Malleret Joinville,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
68,21,4BIS SENTE DE VILLIERS,94140,ALFORTVILLE,48.786181,2.425093,4 BIS Sentier de Villiers 94140 Alfortville,0.74,housenumber,ADRNIVX_0000000358881956,4 BIS,Sentier de Villiers,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
69,14,1 RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811228,2.419133,1 Allée des Prévoyants 94140 Alfortville,0.75,housenumber,ADRNIVX_0000000340217409,1,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
70,14,10 RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811323,2.419921,10 Allée des Prévoyants 94140 Alfortville,0.75,housenumber,ADRNIVX_0000000270913425,10,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
71,14,12 RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811296,2.419941,12 Allée des Prévoyants 94140 Alfortville,0.75,housenumber,ADRNIVX_0000000270913426,12,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
72,14,3 RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811258,2.419236,3 Allée des Prévoyants 94140 Alfortville,0.75,housenumber,ADRNIVX_0000000270913441,3,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
73,14,4 RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811252,2.419441,4 Allée des Prévoyants 94140 Alfortville,0.75,housenumber,ADRNIVX_0000000270913443,4,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
74,14,5 RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811322,2.4195729999999998,5 Allée des Prévoyants 94140 Alfortville,0.75,housenumber,ADRNIVX_0000000270913420,5,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
75,14,6 RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811279,2.419628,6 Allée des Prévoyants 94140 Alfortville,0.75,housenumber,ADRNIVX_0000000270913422,6,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
76,14,9 RUE DES PRÉVOYANTS,94140,ALFORTVILLE,48.811386,2.4200720000000002,9 Allée des Prévoyants 94140 Alfortville,0.75,housenumber,ADRNIVX_0000000270913424,9,Allée des Prévoyants,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
77,10,10 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808585,2.411618,10 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881839,10,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
78,10,11 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808833,2.411127,11 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881840,11,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
79,10,12 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808577,2.411727,12 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881841,12,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
80,10,13 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808777,2.41112,13 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881842,13,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
81,10,14 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808568,2.411836,14 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881843,14,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
82,10,15 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808716,2.411111,15 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881844,15,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
83,10,16 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.80856,2.411943,16 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881845,16,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
84,10,2 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808611,2.411299,2 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881830,2,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
85,10,20 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808547,2.412159,20 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881847,20,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
86,10,3 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808668,2.411425,3 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881831,3,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
87,10,4 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808607,2.411355,4 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881832,4,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
88,10,5 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808673999999996,2.411381,5 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881833,5,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
89,10,6 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808605,2.411416,6 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881834,6,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
90,10,8 RUE VICTOR SCHOELCHER,94140,ALFORTVILLE,48.808599,2.41151,8 Allée Victor Schoelcher 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000358881836,8,Allée Victor Schoelcher,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
91,22,13BIS RUE ABBÉ JAEGER,94140,ALFORTVILLE,48.790015000000004,2.427683,13 BIS Rue de l'Abbé Jaeger 94140 Alfortville,0.76,housenumber,ADRNIVX_0000000270969908,13 BIS,Rue de l'Abbé Jaeger,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
92,18,6BIS RUE DU MAL DE LATTRE DE TASSIGNY,94140,ALFORTVILLE,48.79903,2.4205,6 B Rue du Maréchal de Lattre de Tassigny 94140 Alfortville,0.77,housenumber,ADRNIVX_0000000270945701,6 B,Rue du Maréchal de Lattre de Tassigny,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
93,20,22BIS RUE DE DIJON,94140,ALFORTVILLE,48.786238,2.428789,22 B Rue de Dijon 94140 Alfortville,0.77,housenumber,ADRNIVX_0000000270978531,22 B,Rue de Dijon,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
94,5,36BIS CHEMIN LATÉRAL,94140,ALFORTVILLE,48.809832,2.421807,36 B Chemin Latéral 94140 Alfortville,0.78,housenumber,ADRNIVX_0000000270916856,36 B,Chemin Latéral,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
95,11,1BIS RUE DE MARNE,94140,ALFORTVILLE,48.81563,2.412226,1 BIS Rue de la Marne 94140 Alfortville,0.78,housenumber,ADRNIVX_0000000270901040,1 BIS,Rue de la Marne,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
96,17,34TER RUE EMILE ZOLA,94140,ALFORTVILLE,48.798829,2.423384,Rue Émile Zola 94140 Alfortville,0.78,street,94002_3150_463dbd,,Rue Émile Zola,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
97,20,10BIS RUE DE CHOISY,94140,ALFORTVILLE,48.788067,2.424013,10 B Rue de Choisy 94140 Alfortville,0.78,housenumber,ADRNIVX_0000000270975543,10 B,Rue de Choisy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
98,20,10TER RUE DE CHOISY,94140,ALFORTVILLE,48.788114,2.424059,10 T Rue de Choisy 94140 Alfortville,0.78,housenumber,ADRNIVX_0000000270975544,10 T,Rue de Choisy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
99,21,2 SENTE DE VILLIERS,94140,ALFORTVILLE,48.786072999999995,2.425262,2 Sentier de Villiers 94140 Alfortville,0.78,housenumber,ADRNIVX_0000000270979498,2,Sentier de Villiers,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
100,21,4 SENTE DE VILLIERS,94140,ALFORTVILLE,48.786093,2.425527,4 Sentier de Villiers 94140 Alfortville,0.78,housenumber,ADRNIVX_0000000270979497,4,Sentier de Villiers,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
101,21,5 SENTE DE VILLIERS,94140,ALFORTVILLE,48.786138,2.425637,5 Sentier de Villiers 94140 Alfortville,0.78,housenumber,ADRNIVX_0000000270978540,5,Sentier de Villiers,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
102,23,42430 RUE DE LA PERCHE,94140,ALFORTVILLE,48.791781,2.424842,Rue de la Perche 94140 Alfortville,0.78,street,94002_7130_a3391c,,Rue de la Perche,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
103,7,36BIS RUE DU 14 JUILLET,94140,ALFORTVILLE,48.803470000000004,2.418026,Rue du 14 Juillet 94140 Alfortville,0.79,street,94002_XXXX_b15e40,,Rue du 14 Juillet,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
104,16,4BIS RUE DE FLORE,94140,ALFORTVILLE,48.796878,2.42211,4 B Rue de Flore 94140 Alfortville,0.79,housenumber,ADRNIVX_0000000270951722,4 B,Rue de Flore,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
105,17,10BIS RUE DES OEILLETS,94140,ALFORTVILLE,48.798307,2.424595,10 B Rue des Oeillets 94140 Alfortville,0.79,housenumber,ADRNIVX_0000000270948142,10 B,Rue des Oeillets,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
106,2,8BIS RUE DES BLEUETS,94140,ALFORTVILLE,48.802177,2.422966,8 B Rue des Bleuets 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000270937954,8 B,Rue des Bleuets,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
107,8,2BIS RUE PARMENTIER,94140,ALFORTVILLE,48.80684,2.4112270000000002,2 B Rue Parmentier 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000358881817,2 B,Rue Parmentier,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
108,8,2TER RUE PARMENTIER,94140,ALFORTVILLE,48.806891,2.411412,2 T Rue Parmentier 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000332164100,2 T,Rue Parmentier,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
109,17,55BIS RUE DES PÂQUERETTES,94140,ALFORTVILLE,48.797619,2.4259310000000003,Rue des Pâquerettes 94140 Alfortville,0.8,street,94002_7105_575ee1,,Rue des Pâquerettes,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
110,19,4BIS RUE DE GRENOBLE,94140,ALFORTVILLE,48.786214,2.430756,4 B Rue de Grenoble 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000354633580,4 B,Rue de Grenoble,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
111,20,2TER RUE DE CHOISY,94140,ALFORTVILLE,48.787569,2.423521,2 T Rue de Choisy 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000270975531,2 T,Rue de Choisy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
112,20,3BIS RUE DE GRENOBLE,94140,ALFORTVILLE,48.786383,2.4309990000000004,3 B Rue de Grenoble 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000354633579,3 B,Rue de Grenoble,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
113,20,4BIS RUE DE CHOISY,94140,ALFORTVILLE,48.787641,2.423598,4 B Rue de Choisy 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000270975534,4 B,Rue de Choisy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
114,20,4TER RUE DE CHOISY,94140,ALFORTVILLE,48.787688,2.423643,4 T Rue de Choisy 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000270975535,4 T,Rue de Choisy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
115,20,6BIS RUE DE CHOISY,94140,ALFORTVILLE,48.787783000000005,2.423736,6 B Rue de Choisy 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000270975537,6 B,Rue de Choisy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
116,20,8BIS RUE DE CHOISY,94140,ALFORTVILLE,48.787925,2.423875,8 B Rue de Choisy 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000270975540,8 B,Rue de Choisy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
117,20,8TER RUE DE CHOISY,94140,ALFORTVILLE,48.787971999999996,2.423921,8 T Rue de Choisy 94140 Alfortville,0.8,housenumber,ADRNIVX_0000000270975541,8 T,Rue de Choisy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
118,2,204BIS RUE PAUL VAILLANT-COUTURIER,94140,ALFORTVILLE,48.801446999999996,2.421664,204 B Rue Paul Vaillant-Couturier 94140 Alfortville,0.81,housenumber,ADRNIVX_0000000270939307,204 B,Rue Paul Vaillant-Couturier,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
119,2,42493 RUE DU PRÉSIDENT KENNEDY,94140,ALFORTVILLE,48.803142,2.422803,Rue du Président Kennedy 94140 Alfortville,0.81,street,94002_XXXX_b0b6de,,Rue du Président Kennedy,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
120,16,2BIS BOULEVARD CARNOT,94140,ALFORTVILLE,48.795294,2.4234709999999997,2 B Boulevard Carnot 94140 Alfortville,0.81,housenumber,ADRNIVX_0000000270955076,2 B,Boulevard Carnot,,94140.0,Alfortville,"94, Val-de-Marne, Île-de-France",94002.0
