,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
2,1,46BIS GRANDE RUE,94360.0,BRY SUR MARNE,48.837456,2.520883,46 BIS Grand-Rue Charles de Gaulle 94360 Bry-sur-Marne,0.59,housenumber,ADRNIVX_0000000270875409,46 BIS,Grand-Rue Charles de Gaulle,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
3,2,ILE DU MOULIN,94360.0,BRY SUR MARNE,48.827897,2.509713,Chemin du Moulin de Bry 94360 Bry-sur-Marne,0.62,street,94015_6193_b5eba6,,Chemin du Moulin de Bry,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
4,8,17 RUE JEAN ROBLIN,,BRY SUR MARNE,48.843687,2.533776,17 Allée Jean Roblin 94360 Bry-sur-Marne,0.62,housenumber,ADRNIVX_0000000270869952,17,Allée Jean Roblin,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
5,7,1 ALAMBIC,94360.0,BRY SUR MARNE,48.839521000000005,2.524371,1 Impasse de l'Alambic 94360 Bry-sur-Marne,0.63,housenumber,ADRNIVX_0000000270873411,1,Impasse de l'Alambic,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
6,1,6 GRANDE RUE CH DE GAULLE,,BRY SUR MARNE,48.83595,2.520394,6 Grand-Rue Charles de Gaulle 94360 Bry-sur-Marne,0.64,housenumber,ADRNIVX_0000000270877388,6,Grand-Rue Charles de Gaulle,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
7,4,,94360.0,BRY SUR MARNE,48.840893,2.5217680000000002,Bry-sur-Marne,0.64,city,94015,,Bry-sur-Marne,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
8,6,26BIS BOULEVARD GALLIENI,94360.0,BRY SUR MARNE,48.842816,2.524035,Boulevard du Général Gallieni 94360 Bry-sur-Marne,0.64,street,94015_XXXX_2a6112,,Boulevard du Général Gallieni,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
9,10,,94360.0,BRY SUR MARNE,48.840893,2.5217680000000002,Bry-sur-Marne,0.64,city,94015,,Bry-sur-Marne,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
10,1,48 GRANDE RUE,94360.0,BRY SUR MARNE,48.845414,2.523371,Rue Jean Grandel 94360 Bry-sur-Marne,0.67,street,94015_4715_ed1bb4,,Rue Jean Grandel,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
11,6,17T BOULEVARD GALLIENI,94360.0,BRY SUR MARNE,48.842816,2.524035,Boulevard du Général Gallieni 94360 Bry-sur-Marne,0.67,street,94015_XXXX_2a6112,,Boulevard du Général Gallieni,,94360.0,Bry-sur-Marne,"94, Val-de-Marne, Île-de-France",94015.0
