,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
0,5,35 IMPASSE VILLA FLEURIE,94230,CACHAN,48.800582,2.326057,Villa Serre 94230 Cachan,0.44,street,94016_8520_193f5c,,Villa Serre,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
1,1,MAIRIE,94230,CACHAN,48.796048,2.333303,Rue Raspail 94230 Cachan,0.49,street,94016_8110_18d08f,,Rue Raspail,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
2,6,6 IMPASSE BAJOU,94230,CACHAN,48.78718,2.337454,6 Allée Bajou 94230 Cachan,0.58,housenumber,ADRNIVX_0000000270975919,6,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
3,6,8 IMPASSE BAJOU,94230,CACHAN,48.787243,2.3374639999999998,8 Allée Bajou 94230 Cachan,0.58,housenumber,ADRNIVX_0000000270975921,8,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
4,6,10 IMPASSE BAJOU,94230,CACHAN,48.787321999999996,2.337478,10 Allée Bajou 94230 Cachan,0.59,housenumber,ADRNIVX_0000000270975923,10,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
5,6,12 IMPASSE BAJOU,94230,CACHAN,48.787391,2.337496,12 Allée Bajou 94230 Cachan,0.59,housenumber,ADRNIVX_0000000270975924,12,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
6,6,13 IMPASSE BAJOU,94230,CACHAN,48.787794,2.337694,13 Allée Bajou 94230 Cachan,0.59,housenumber,ADRNIVX_0000000270974855,13,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
7,6,15 IMPASSE BAJOU,94230,CACHAN,48.787914,2.337831,15 Allée Bajou 94230 Cachan,0.59,housenumber,ADRNIVX_0000000270974856,15,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
8,6,16 IMPASSE BAJOU,94230,CACHAN,48.787801,2.337777,16 Allée Bajou 94230 Cachan,0.59,housenumber,ADRNIVX_0000000270974857,16,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
9,6,17 IMPASSE BAJOU,94230,CACHAN,48.787942,2.337788,17 Allée Bajou 94230 Cachan,0.59,housenumber,ADRNIVX_0000000270974859,17,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
10,6,18 IMPASSE BAJOU,94230,CACHAN,48.787649,2.337612,18 Allée Bajou 94230 Cachan,0.59,housenumber,ADRNIVX_0000000270974860,18,Allée Bajou,,94230,Cachan,"94, Val-de-Marne, Île-de-France",94016
