,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
14,35,1 IMPASSE BLANCHARD,94000,CRETEIL,48.784751,2.444203,1 Boulevard Pablo Picasso 94000 Créteil,0.45,housenumber,ADRNIVX_0000000270981391,1,Boulevard Pablo Picasso,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
15,35,1 IMPASSE GEORGES MEDERIC,94000,CRETEIL,48.778499,2.473455,1 Avenue Georges Duhamel 94000 Créteil,0.45,housenumber,ADRNIVX_0000000270991136,1,Avenue Georges Duhamel,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
16,35,3 IMPASSE BLANCHARD,94000,CRETEIL,48.785031,2.444276,3 Boulevard Pablo Picasso 94000 Créteil,0.45,housenumber,ADRNIVX_0000000270981394,3,Boulevard Pablo Picasso,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
17,35,3 IMPASSE GEORGES MEDERIC,94000,CRETEIL,48.778240999999994,2.473795,3 Avenue Georges Duhamel 94000 Créteil,0.45,housenumber,ADRNIVX_0000000270991137,3,Avenue Georges Duhamel,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
18,35,5 IMPASSE BLANCHARD,94000,CRETEIL,48.785655,2.445209,5 Boulevard Pablo Picasso 94000 Créteil,0.45,housenumber,ADRNIVX_0000000270980411,5,Boulevard Pablo Picasso,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
19,35,7 IMPASSE BLANCHARD,94000,CRETEIL,48.78565,2.44577,7 Boulevard Pablo Picasso 94000 Créteil,0.45,housenumber,ADRNIVX_0000000270980407,7,Boulevard Pablo Picasso,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
20,30,1 COUR LAPLAINE,94000,CRETEIL,48.792084,2.4507790000000003,1 Rue de Courcy 94000 Créteil,0.49,housenumber,ADRNIVX_0000000270964587,1,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
21,30,2 COUR LAPLAINE,94000,CRETEIL,48.792018,2.4506959999999998,2 Rue de Courcy 94000 Créteil,0.49,housenumber,ADRNIVX_0000000270964588,2,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
22,30,3 COUR LAPLAINE,94000,CRETEIL,48.791978,2.4508650000000003,3 Rue de Courcy 94000 Créteil,0.49,housenumber,ADRNIVX_0000000270964589,3,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
23,30,4 COUR LAPLAINE,94000,CRETEIL,48.791918,2.450782,4 Rue de Courcy 94000 Créteil,0.49,housenumber,ADRNIVX_0000000270964590,4,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
24,30,6 COUR LAPLAINE,94000,CRETEIL,48.791821,2.45086,6 Rue de Courcy 94000 Créteil,0.49,housenumber,ADRNIVX_0000000270964592,6,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
25,30,7 COUR LAPLAINE,94000,CRETEIL,48.791774,2.451036,7 Rue de Courcy 94000 Créteil,0.49,housenumber,ADRNIVX_0000000270964593,7,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
26,30,9 COUR LAPLAINE,94000,CRETEIL,48.791662,2.451127,9 Rue de Courcy 94000 Créteil,0.49,housenumber,ADRNIVX_0000000270965974,9,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
27,30,10 COUR LAPLAINE,94000,CRETEIL,48.791629,2.451019,10 Rue de Courcy 94000 Créteil,0.5,housenumber,ADRNIVX_0000000270965979,10,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
28,30,11 COUR LAPLAINE,94000,CRETEIL,48.791557,2.451216,11 Rue de Courcy 94000 Créteil,0.5,housenumber,ADRNIVX_0000000270965975,11,Rue de Courcy,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
29,30,1 Bis COUR LAPLAINE,94000,CRETEIL,48.783112,2.474688,1 BIS Rue Louise 94000 Créteil,0.51,housenumber,ADRNIVX_0000000270984215,1 BIS,Rue Louise,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
30,30,1 Ter COUR LAPLAINE,94000,CRETEIL,48.78303,2.474757,1 TER Rue Louise 94000 Créteil,0.51,housenumber,ADRNIVX_0000000270984898,1 TER,Rue Louise,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
31,24,1 RUE ANTOINE BOURDELLE,94000,CRETEIL,48.797543,2.448921,Rue Antoine Etex 94000 Créteil,0.54,street,94028_0071_807ec5,,Rue Antoine Etex,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
32,24,3 RUE ANTOINE BOURDELLE,94000,CRETEIL,48.797543,2.448921,Rue Antoine Etex 94000 Créteil,0.54,street,94028_0071_807ec5,,Rue Antoine Etex,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
33,24,4 RUE ANTOINE BOURDELLE,94000,CRETEIL,48.797543,2.448921,Rue Antoine Etex 94000 Créteil,0.54,street,94028_0071_807ec5,,Rue Antoine Etex,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
34,24,5 RUE ANTOINE BOURDELLE,94000,CRETEIL,48.797543,2.448921,Rue Antoine Etex 94000 Créteil,0.54,street,94028_0071_807ec5,,Rue Antoine Etex,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
35,24,6 RUE ANTOINE BOURDELLE,94000,CRETEIL,48.797543,2.448921,Rue Antoine Etex 94000 Créteil,0.54,street,94028_0071_807ec5,,Rue Antoine Etex,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
36,24,7 RUE ANTOINE BOURDELLE,94000,CRETEIL,48.797543,2.448921,Rue Antoine Etex 94000 Créteil,0.54,street,94028_0071_807ec5,,Rue Antoine Etex,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
37,24,11 RUE DU VIEUX CHEMIN,94000,CRETEIL,48.799769,2.466858,Avenue du Vieux Moulin 94000 Créteil,0.56,street,94028_9640_4dd8c3,,Avenue du Vieux Moulin,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
38,34,11 AREPA RUE DU CDT J.BOULARD,94000,CRETEIL,48.780957,2.4659310000000003,11 Rue du Commandant Joyen Boulard 94000 Créteil,0.56,housenumber,ADRNIVX_0000000354632518,11,Rue du Commandant Joyen Boulard,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
39,24,1 RUE DU VIEUX CHEMIN,94000,CRETEIL,48.799769,2.466858,Avenue du Vieux Moulin 94000 Créteil,0.57,street,94028_9640_4dd8c3,,Avenue du Vieux Moulin,,94000.0,Créteil,"94, Val-de-Marne, Île-de-France",94028.0
