,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
0,11,3BIS PLACE DE L'INSURRECTION,94200,IVRY SUR SEINE,48.814074,2.397586,3 B Place de l'Insurrection d'Août 1944 94200 Ivry-sur-Seine,0.67,housenumber,ADRNIVX_0000000354634086,3 B,Place de l'Insurrection d'Août 1944,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
1,13,1 RUE LEIBNITZ,94200,IVRY SUR SEINE,48.818632,2.39909,1 Rue Lénine 94200 Ivry-sur-Seine,0.69,housenumber,ADRNIVX_0000000270896810,1,Rue Lénine,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
2,14,1B RUE BLANQUI,94200,IVRY SUR SEINE,48.811078,2.387416,1 BIS Rue Auguste Blanqui 94200 Ivry-sur-Seine,0.69,housenumber,ADRNIVX_0000000270913530,1 BIS,Rue Auguste Blanqui,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
3,11,1BIS PLACE DE L'INSURRECTION,94200,IVRY SUR SEINE,48.814294,2.398168,1 BIS Place de l'Insurrection d'Août 1944 94200 Ivry-sur-Seine,0.7,housenumber,ADRNIVX_0000000270904523,1 BIS,Place de l'Insurrection d'Août 1944,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
4,11,3B PLACE DE L'INSURRECTION,94200,IVRY SUR SEINE,48.814074,2.397586,3 B Place de l'Insurrection d'Août 1944 94200 Ivry-sur-Seine,0.7,housenumber,ADRNIVX_0000000354634086,3 B,Place de l'Insurrection d'Août 1944,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
5,14,1BIS RUE BLANQUI,94200,IVRY SUR SEINE,48.811078,2.387416,1 BIS Rue Auguste Blanqui 94200 Ivry-sur-Seine,0.71,housenumber,ADRNIVX_0000000270913530,1 BIS,Rue Auguste Blanqui,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
6,14,3BIS RUE BLANQUI,94200,IVRY SUR SEINE,48.810947,2.3872150000000003,3 BIS Rue Auguste Blanqui 94200 Ivry-sur-Seine,0.71,housenumber,ADRNIVX_0000000270913537,3 BIS,Rue Auguste Blanqui,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
7,10,2 PLACE DE L'INSURRECTION,94200,IVRY SUR SEINE,48.814719000000004,2.398243,2 Place de l'Insurrection d'Août 1944 94200 Ivry-sur-Seine,0.73,housenumber,ADRNIVX_0000000270903226,2,Place de l'Insurrection d'Août 1944,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
8,10,4 PLACE DE L'INSURRECTION,94200,IVRY SUR SEINE,48.814605,2.3977009999999996,Place de l'Insurrection d'Août 1944 94200 Ivry-sur-Seine,0.73,street,94041_XXXX_22b777,,Place de l'Insurrection d'Août 1944,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
9,11,1 PLACE DE L'INSURRECTION,94200,IVRY SUR SEINE,48.814422,2.398215,1 Place de l'Insurrection d'Août 1944 94200 Ivry-sur-Seine,0.73,housenumber,ADRNIVX_0000000270904522,1,Place de l'Insurrection d'Août 1944,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041
