,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
55,1,29BIS RUE DU ONZE NOVEMBRE,94240,L'HAY-LES-ROSES,48.782114,2.3369459999999997,29 B Rue du 11 Novembre 1918 94240 L'Haÿ-les-Roses,0.62,housenumber,ADRNIVX_0000000332167809,29 B,Rue du 11 Novembre 1918,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
56,8,17B RUE DU VAL,94240,L'HAY-LES-ROSES,48.783147,2.328973,17 BIS Rue du Parc 94240 L'Haÿ-les-Roses,0.64,housenumber,ADRNIVX_0000000270983996,17 BIS,Rue du Parc,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
57,1,3B RUE DU ONZE NOVEMBRE,94240,L'HAY-LES-ROSES,48.780211,2.336905,3 BIS Rue du 11 Novembre 1918 94240 L'Haÿ-les-Roses,0.65,housenumber,ADRNIVX_0000000270987656,3 BIS,Rue du 11 Novembre 1918,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
58,3,1 SQUARE DU DOCTEUR ELMELIK,94240,L'HAY-LES-ROSES,48.778907000000004,2.33652,1 Square Léon Elmelik 94240 L'Haÿ-les-Roses,0.65,housenumber,ADRNIVX_0000000270990341,1,Square Léon Elmelik,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
59,3,2 SQUARE DU DOCTEUR ELMELIK,94240,L'HAY-LES-ROSES,48.778913,2.3364130000000003,2 Square Léon Elmelik 94240 L'Haÿ-les-Roses,0.65,housenumber,ADRNIVX_0000000270990342,2,Square Léon Elmelik,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
60,3,3 SQUARE DU DOCTEUR ELMELIK,94240,L'HAY-LES-ROSES,48.778735,2.336359,3 Square Léon Elmelik 94240 L'Haÿ-les-Roses,0.65,housenumber,ADRNIVX_0000000270990343,3,Square Léon Elmelik,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
61,3,4 SQUARE DU DOCTEUR ELMELIK,94240,L'HAY-LES-ROSES,48.778774,2.33668,4 Square Léon Elmelik 94240 L'Haÿ-les-Roses,0.65,housenumber,ADRNIVX_0000000270990344,4,Square Léon Elmelik,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
62,3,5 SQUARE DU DOCTEUR ELMELIK,94240,L'HAY-LES-ROSES,48.778632,2.33639,5 Square Léon Elmelik 94240 L'Haÿ-les-Roses,0.65,housenumber,ADRNIVX_0000000270990345,5,Square Léon Elmelik,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
63,1,3BIS RUE DU ONZE NOVEMBRE,94240,L'HAY-LES-ROSES,48.780211,2.336905,3 BIS Rue du 11 Novembre 1918 94240 L'Haÿ-les-Roses,0.67,housenumber,ADRNIVX_0000000270987656,3 BIS,Rue du 11 Novembre 1918,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
64,3,15TER2ME ETAGE RUE DES TOURNELLES,94240,L'HAY-LES-ROSES,48.777181,2.336626,Rue des Tournelles 94240 L'Haÿ-les-Roses,0.68,street,94038_9150_94c49e,,Rue des Tournelles,,94240.0,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038.0
