,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
3,24,14 16 RUE D'ESTIENNE D'ORVES,94700,MAISONS ALFORT,48.813829999999996,2.431189,Rue du Lieutenant de Vaisseau d'Estienne d'Orves 94700 Maisons-Alfort,0.53,street,94046_XXXX_dcb16c,,Rue du Lieutenant de Vaisseau d'Estienne d'Orves,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
4,29,3 RUE GEORGENTHUM,94700,MAISONS ALFORT,48.810407,2.442776,3 Rue Georgenthum-Pl du Président René Coty 94700 Maisons-Alfort,0.55,housenumber,ADRNIVX_0000000270915748,3,Rue Georgenthum-Pl du Président René Coty,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
5,29,5 RUE GEORGENTHUM,94700,MAISONS ALFORT,48.810558,2.442776,5 Rue Georgenthum-Pl du Président René Coty 94700 Maisons-Alfort,0.55,housenumber,ADRNIVX_0000000270915752,5,Rue Georgenthum-Pl du Président René Coty,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
6,23,3B RUE D'ESTIENNE D'ORVES,94700,MAISONS ALFORT,48.814827,2.4311380000000002,3 BIS Rue du Lieutenant de Vaisseau d'Estienne d'Orves 94700 Maisons-Alfort,0.56,housenumber,ADRNIVX_0000000270903036,3 BIS,Rue du Lieutenant de Vaisseau d'Estienne d'Orves,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
7,24,16 RUE D'ESTIENNE D'ORVES,94700,MAISONS ALFORT,48.813829999999996,2.431189,Rue du Lieutenant de Vaisseau d'Estienne d'Orves 94700 Maisons-Alfort,0.56,street,94046_XXXX_dcb16c,,Rue du Lieutenant de Vaisseau d'Estienne d'Orves,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
8,23,44 46 RUE D'ESTIENNE D'ORVES,94700,MAISONS ALFORT,48.812605,2.43125,46 Rue du Lieutenant de Vaisseau d'Estienne d'Orves 94700 Maisons-Alfort,0.57,housenumber,ADRNIVX_0000000270909543,46,Rue du Lieutenant de Vaisseau d'Estienne d'Orves,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
9,23,13BIS RUE D'ESTIENNE D'ORVES,94700,MAISONS ALFORT,48.81426,2.431192,13 BIS Rue du Lieutenant de Vaisseau d'Estienne d'Orves 94700 Maisons-Alfort,0.58,housenumber,ADRNIVX_0000000270904314,13 BIS,Rue du Lieutenant de Vaisseau d'Estienne d'Orves,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
10,23,3BIS RUE D'ESTIENNE D'ORVES,94700,MAISONS ALFORT,48.814827,2.4311380000000002,3 BIS Rue du Lieutenant de Vaisseau d'Estienne d'Orves 94700 Maisons-Alfort,0.58,housenumber,ADRNIVX_0000000270903036,3 BIS,Rue du Lieutenant de Vaisseau d'Estienne d'Orves,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
11,23,7BIS RUE D'ESTIENNE D'ORVES,94700,MAISONS ALFORT,48.814598,2.431157,7 BIS Rue du Lieutenant de Vaisseau d'Estienne d'Orves 94700 Maisons-Alfort,0.58,housenumber,ADRNIVX_0000000270904309,7 BIS,Rue du Lieutenant de Vaisseau d'Estienne d'Orves,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
12,24,34BIS RUE D'ESTIENNE D'ORVES,94700,MAISONS ALFORT,48.813358,2.43118,34 BIS Rue du Lieutenant de Vaisseau d'Estienne d'Orves 94700 Maisons-Alfort,0.58,housenumber,ADRNIVX_0000000270906923,34 BIS,Rue du Lieutenant de Vaisseau d'Estienne d'Orves,,94700.0,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046.0
