,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
2,10,5 Allée Sans Gène,94420,LE PLESSIS-TRÉVISE,48.799284,2.591575,5 Avenue George Sand 94420 Le Plessis-Trévise,0.61,housenumber,ADRNIVX_0000000270946310,5.0,Avenue George Sand,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
3,10,2 Allée St Antoine,94420,LE PLESSIS-TRÉVISE,48.804123,2.592212,2 Allée Antoine Parmentier 94420 Le Plessis-Trévise,0.67,housenumber,ADRNIVX_0000000270933436,2.0,Allée Antoine Parmentier,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
4,10,4 Allée St Antoine,94420,LE PLESSIS-TRÉVISE,48.80408,2.592491,4 Allée Antoine Parmentier 94420 Le Plessis-Trévise,0.67,housenumber,ADRNIVX_0000000270933432,4.0,Allée Antoine Parmentier,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
5,11,2 Allée A L de Jussieu,94420,LE PLESSIS-TRÉVISE,48.804398,2.593961,2 Allée Antoine Laurent de Jussieu 94420 Le Plessis-Trévise,0.67,housenumber,ADRNIVX_0000000270932227,2.0,Allée Antoine Laurent de Jussieu,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
6,11,3 Allée A L de Jussieu,94420,LE PLESSIS-TRÉVISE,48.804432,2.5938369999999997,3 Allée Antoine Laurent de Jussieu 94420 Le Plessis-Trévise,0.67,housenumber,ADRNIVX_0000000270932231,3.0,Allée Antoine Laurent de Jussieu,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
7,11,4 Allée A L de Jussieu,94420,LE PLESSIS-TRÉVISE,48.804598,2.5938830000000004,4 Allée Antoine Laurent de Jussieu 94420 Le Plessis-Trévise,0.67,housenumber,ADRNIVX_0000000270932228,4.0,Allée Antoine Laurent de Jussieu,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
8,11,5 Allée A L de Jussieu,94420,LE PLESSIS-TRÉVISE,48.804584000000006,2.5937799999999998,5 Allée Antoine Laurent de Jussieu 94420 Le Plessis-Trévise,0.67,housenumber,ADRNIVX_0000000270932232,5.0,Allée Antoine Laurent de Jussieu,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
9,11,6 Allée A L de Jussieu,94420,LE PLESSIS-TRÉVISE,48.804725,2.5938380000000003,6 Allée Antoine Laurent de Jussieu 94420 Le Plessis-Trévise,0.67,housenumber,ADRNIVX_0000000270932233,6.0,Allée Antoine Laurent de Jussieu,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
10,11,7 Allée A L de Jussieu,94420,LE PLESSIS-TRÉVISE,48.804715,2.5937259999999998,7 Allée Antoine Laurent de Jussieu 94420 Le Plessis-Trévise,0.67,housenumber,ADRNIVX_0000000270932234,7.0,Allée Antoine Laurent de Jussieu,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
11,10,1 Avenue G L de Buffon,94420,LE PLESSIS-TRÉVISE,48.804443,2.5919689999999997,1 Avenue Georges Louis de Buffon 94420 Le Plessis-Trévise,0.7,housenumber,ADRNIVX_0000000270932238,1.0,Avenue Georges Louis de Buffon,,94420.0,Le Plessis-Trévise,"94, Val-de-Marne, Île-de-France",94059.0
