,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
17,4,1 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750932,2.340648,1 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026159,1,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
18,4,2 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750988,2.340735,2 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026160,2,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
19,4,3 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750974,2.340487,3 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026161,3,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
20,4,4 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.751034000000004,2.340557,4 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026162,4,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
21,4,5 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.751051000000004,2.339988,5 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026165,5,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
22,4,6 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.751084000000006,2.3403669999999996,6 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026163,6,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
23,4,7 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750934,2.339916,7 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026166,7,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
24,4,8 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.751115999999996,2.3401560000000003,8 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026164,8,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
25,4,9 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750818,2.3398470000000002,9 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.58,housenumber,ADRNIVX_0000000271026167,9,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
26,4,10 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.751028999999996,2.339857,10 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026168,10,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
27,4,11 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750693,2.339775,11 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026169,11,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
28,4,12 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750908,2.339788,12 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026170,12,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
29,4,13 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750589,2.339713,13 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026925,13,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
30,4,14 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.7508,2.339722,14 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026171,14,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
31,4,15 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750561,2.339648,15 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026926,15,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
32,4,16 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750737,2.33946,16 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026172,16,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
33,4,17 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750592,2.339543,17 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026927,17,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
34,4,18 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750640000000004,2.339396,18 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026928,18,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
35,4,19 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750372999999996,2.339326,19 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026932,19,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
36,4,20 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750529,2.339336,20 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026933,20,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
37,4,22 RUE DELAMBRE ET MECHAIN,94150,RUNGIS,48.750382,2.339251,22 Rue Jean-Baptiste Delambre et Pierre Mechain 94150 Rungis,0.59,housenumber,ADRNIVX_0000000271026934,22,Rue Jean-Baptiste Delambre et Pierre Mechain,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
38,2,75 VOIE DES AVERNAISES,94150,RUNGIS,48.740528000000005,2.354238,75 Chemin des Avernaises 94150 Rungis,0.64,housenumber,ADRNIVX_0000000271038190,75,Chemin des Avernaises,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
39,2,4 RUE PASTEUR,94150,RUNGIS,48.747821,2.345049,Avenue Pasteur 94150 Rungis,0.69,street,94065_1522_47cbc7,,Avenue Pasteur,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
40,2,6C RUE DE LA GARE,94150,RUNGIS,48.743988,2.35053,6 C Avenue de la Gare 94150 Rungis,0.69,housenumber,ADRNIVX_0000000271034060,6 C,Avenue de la Gare,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
41,2,5 RUE PASTEUR,94150,RUNGIS,48.747498,2.344318,5 Avenue Pasteur 94150 Rungis,0.7,housenumber,ADRNIVX_0000000325385172,5,Avenue Pasteur,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
42,2,7 RUE PASTEUR,94150,RUNGIS,48.748332,2.345605,7 Avenue Pasteur 94150 Rungis,0.7,housenumber,ADRNIVX_0000000325385317,7,Avenue Pasteur,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
43,2,29 RUE PASTEUR,94150,RUNGIS,48.74804,2.3453,29 Avenue Pasteur 94150 Rungis,0.71,housenumber,ADRNIVX_0000000271029561,29,Avenue Pasteur,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
44,2,1 RESIDENCE DU MARCHE BAT B,94150,RUNGIS,48.746101,2.348882,Résidence du Marche 94150 Rungis,0.72,locality,94065_A001_2c9211,,Résidence du Marche,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
45,3,10 RUE F PILATRE DE ROZIER,94150,RUNGIS,48.754282,2.342714,10 Rue François Pilâtre de Rozier 94150 Rungis,0.73,housenumber,ADRNIVX_0000000271022246,10,Rue François Pilâtre de Rozier,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
46,3,11 RUE F PILATRE DE ROZIER,94150,RUNGIS,48.754241,2.3425279999999997,11 Rue François Pilâtre de Rozier 94150 Rungis,0.73,housenumber,ADRNIVX_0000000271022247,11,Rue François Pilâtre de Rozier,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
47,3,12 RUE F PILATRE DE ROZIER,94150,RUNGIS,48.75432,2.342579,12 Rue François Pilâtre de Rozier 94150 Rungis,0.73,housenumber,ADRNIVX_0000000271022248,12,Rue François Pilâtre de Rozier,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
48,3,14 RUE F PILATRE DE ROZIER,94150,RUNGIS,48.754283,2.342563,14 Rue François Pilâtre de Rozier 94150 Rungis,0.73,housenumber,ADRNIVX_0000000271022249,14,Rue François Pilâtre de Rozier,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
49,3,2 RUE F PILATRE DE ROZIER,94150,RUNGIS,48.75404,2.343123,2 Rue François Pilâtre de Rozier 94150 Rungis,0.73,housenumber,ADRNIVX_0000000271022237,2,Rue François Pilâtre de Rozier,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
50,3,3 RUE F PILATRE DE ROZIER,94150,RUNGIS,48.754056,2.342994,3 Rue François Pilâtre de Rozier 94150 Rungis,0.73,housenumber,ADRNIVX_0000000271022238,3,Rue François Pilâtre de Rozier,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
51,3,4 RUE F PILATRE DE ROZIER,94150,RUNGIS,48.754172,2.343028,4 Rue François Pilâtre de Rozier 94150 Rungis,0.73,housenumber,ADRNIVX_0000000271022239,4,Rue François Pilâtre de Rozier,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
52,3,5 RUE F PILATRE DE ROZIER,94150,RUNGIS,48.754115999999996,2.3428139999999997,5 Rue François Pilâtre de Rozier 94150 Rungis,0.73,housenumber,ADRNIVX_0000000271022243,5,Rue François Pilâtre de Rozier,,94150.0,Rungis,"94, Val-de-Marne, Île-de-France",94065.0
