,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
11,28,86 Bis BOULEVARD DE CRETEIL,94100,SAINT-MAUR-DES-FOSSES,48.80037,2.4711540000000003,86 BIS Rue du Pont de Créteil 94100 Saint-Maur-des-Fossés,0.4,housenumber,ADRNIVX_0000000270942998,86 BIS,Rue du Pont de Créteil,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
12,28,4 PLACE JOHN F. KENNEDY,94100,SAINT-MAUR-DES-FOSSES,48.794059999999995,2.4866599999999996,4 Place d'Adamville John Fitzgerald Kennedy 94100 Saint-Maur-des-Fossés,0.44,housenumber,ADRNIVX_0000000270959260,4,Place d'Adamville John Fitzgerald Kennedy,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
13,28,6 PLACE JOHN F. KENNEDY,94100,SAINT-MAUR-DES-FOSSES,48.793960999999996,2.48674,6 Place d'Adamville John Fitzgerald Kennedy 94100 Saint-Maur-des-Fossés,0.44,housenumber,ADRNIVX_0000000270959261,6,Place d'Adamville John Fitzgerald Kennedy,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
14,32,1 VILLA MAHIEU,94100,SAINT-MAUR-DES-FOSSES,48.790844,2.516645,1 Villa Mariotte 94210 Saint-Maur-des-Fossés,0.44,housenumber,ADRNIVX_0000000270968260,1,Villa Mariotte,,94210.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
15,32,7 VILLA MAHIEU,94100,SAINT-MAUR-DES-FOSSES,48.791358,2.516829,7 Villa Mariotte 94210 Saint-Maur-des-Fossés,0.44,housenumber,ADRNIVX_0000000270967002,7,Villa Mariotte,,94210.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
16,44,3 PLACE JOHN F. KENNEDY,94100,SAINT-MAUR-DES-FOSSES,48.794033,2.4872360000000002,3 Place d'Adamville John Fitzgerald Kennedy 94100 Saint-Maur-des-Fossés,0.44,housenumber,ADRNIVX_0000000270959259,3,Place d'Adamville John Fitzgerald Kennedy,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
17,44,9 PLACE JOHN F. KENNEDY,94100,SAINT-MAUR-DES-FOSSES,48.793576,2.487574,9 Place d'Adamville John Fitzgerald Kennedy 94100 Saint-Maur-des-Fossés,0.44,housenumber,ADRNIVX_0000000270960449,9,Place d'Adamville John Fitzgerald Kennedy,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
18,44,11 PLACE JOHN F. KENNEDY,94100,SAINT-MAUR-DES-FOSSES,48.793535,2.48745,11 Place d'Adamville John Fitzgerald Kennedy 94100 Saint-Maur-des-Fossés,0.45,housenumber,ADRNIVX_0000000270960450,11,Place d'Adamville John Fitzgerald Kennedy,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
19,47,20 PLACE JOHN F. KENNEDY,94100,SAINT-MAUR-DES-FOSSES,48.793556,2.486417,20 Place d'Adamville John Fitzgerald Kennedy 94100 Saint-Maur-des-Fossés,0.45,housenumber,ADRNIVX_0000000270960454,20,Place d'Adamville John Fitzgerald Kennedy,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
20,47,24 PLACE JOHN F. KENNEDY,94100,SAINT-MAUR-DES-FOSSES,48.793438,2.486502,24 Place d'Adamville John Fitzgerald Kennedy 94100 Saint-Maur-des-Fossés,0.45,housenumber,ADRNIVX_0000000270960456,24,Place d'Adamville John Fitzgerald Kennedy,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
21,25,3 Bis AVENUE VICTORIA,94100,SAINT-MAUR-DES-FOSSES,48.797002,2.49551,3 BIS Passage Victoria 94100 Saint-Maur-des-Fossés,0.48,housenumber,ADRNIVX_0000000270952484,3 BIS,Passage Victoria,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
22,44,3 VILLA MARGUERITE (AVENUE DESIRE),94100,SAINT-MAUR-DES-FOSSES,48.794779,2.490815,3 Villa Marguerite 94100 Saint-Maur-des-Fossés,0.49,housenumber,ADRNIVX_0000000270957162,3,Villa Marguerite,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
23,44,4 VILLA MARGUERITE (AVENUE DESIRE),94100,SAINT-MAUR-DES-FOSSES,48.794993,2.490822,4 Villa Marguerite 94100 Saint-Maur-des-Fossés,0.49,housenumber,ADRNIVX_0000000270957148,4,Villa Marguerite,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
24,44,10 VILLA MARGUERITE (AVENUE DESIRE),94100,SAINT-MAUR-DES-FOSSES,48.794807,2.4907,10 Villa Marguerite 94100 Saint-Maur-des-Fossés,0.51,housenumber,ADRNIVX_0000000270957151,10,Villa Marguerite,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
25,24,2 PLACE DU THEATRE,94100,SAINT-MAUR-DES-FOSSES,48.798219,2.485627,2 Place du Théâtre Jacques Tati 94100 Saint-Maur-des-Fossés,0.53,housenumber,ADRNIVX_0000000270949053,2,Place du Théâtre Jacques Tati,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
26,41,2 IMPASSE DES 4 PAVILLONS,94100,SAINT-MAUR-DES-FOSSES,48.796285,2.473983,4 Impasse des Pinsons 94100 Saint-Maur-des-Fossés,0.53,housenumber,ADRNIVX_0000000270953670,4,Impasse des Pinsons,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
27,41,6 IMPASSE DES 4 PAVILLONS,94100,SAINT-MAUR-DES-FOSSES,48.796285,2.473983,4 Impasse des Pinsons 94100 Saint-Maur-des-Fossés,0.53,housenumber,ADRNIVX_0000000270953670,4,Impasse des Pinsons,,94100.0,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068.0
