,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
6,6,41 Bis AVENUE DE PRESLES,94410,SAINT-MAURICE,48.816114,2.46164,Avenue du Chemin de Presles 94410 Saint-Maurice,0.62,street,94069_7170_5c07f0,,Avenue du Chemin de Presles,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
7,1,ILE DE LA CHAUSSEE,94410,SAINT-MAURICE,48.817025,2.423634,"Chemin de Halage, ILE DE LA CHAUSSEE 94410 Saint-Maurice",0.63,street,94069_4415B003_4753be,,"Chemin de Halage, ILE DE LA CHAUSSEE",,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
8,2,ILE DE LA CHAUSSEE,94410,SAINT-MAURICE,48.817025,2.423634,"Chemin de Halage, ILE DE LA CHAUSSEE 94410 Saint-Maurice",0.63,street,94069_4415B003_4753be,,"Chemin de Halage, ILE DE LA CHAUSSEE",,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
9,6,1 AVENUE DE PRESLES,94410,ST MAURICE,48.817091,2.461048,1 Avenue du Chemin de Presles 94410 Saint-Maurice,0.64,housenumber,ADRNIVX_0000000270900063,1,Avenue du Chemin de Presles,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
10,6,20 AVENUE DE PRESLES,94410,ST MAURICE,48.816668,2.4599889999999998,20 Avenue du Chemin de Presles 94410 Saint-Maurice,0.64,housenumber,ADRNIVX_0000000270899181,20,Avenue du Chemin de Presles,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
11,6,22 AVENUE DE PRESLES,94410,ST MAURICE,48.816466,2.4605639999999998,22 Avenue du Chemin de Presles 94410 Saint-Maurice,0.64,housenumber,ADRNIVX_0000000270900064,22,Avenue du Chemin de Presles,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
12,7,5 ALLEE DE L ILE DES CORBEAUX,94410,SAINT-MAURICE,48.814994,2.454771,5 Allée du Moulin des Corbeaux 94410 Saint-Maurice,0.64,housenumber,ADRNIVX_0000000270902912,5,Allée du Moulin des Corbeaux,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
13,6,39 Bis AVENUE DE PRESLES,94410,SAINT-MAURICE,48.815647,2.462645,39 B Avenue du Chemin de Presles 94410 Saint-Maurice,0.68,housenumber,ADRNIVX_0000000358882510,39 B,Avenue du Chemin de Presles,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
14,6,39 Ter AVENUE DE PRESLES,94410,SAINT-MAURICE,48.81558,2.462736,39 T Avenue du Chemin de Presles 94410 Saint-Maurice,0.68,housenumber,ADRNIVX_0000000358882511,39 T,Avenue du Chemin de Presles,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
15,5,66 Ter AVENUE MAL DE LATTRE DE TASSIGNY,94410,SAINT-MAURICE,48.821007,2.41989,Avenue du Maréchal de Lattre de Tassigny 94410 Saint-Maurice,0.71,street,94069_XXXX_4e3741,,Avenue du Maréchal de Lattre de Tassigny,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
16,4,8 AVENUE MAL DE LATTRE DE TASSIGNY,94410,ST MAURICE,48.818725,2.419725,8 Avenue du Maréchal de Lattre de Tassigny 94410 Saint-Maurice,0.72,housenumber,ADRNIVX_0000000270895897,8,Avenue du Maréchal de Lattre de Tassigny,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
17,1,1 Bis RUE DU VAL D OSNE,94410,ST MAURICE,48.818304,2.424313,1 B Rue du Val d'Osne 94410 Saint-Maurice,0.73,housenumber,ADRNIVX_0000000270896726,1 B,Rue du Val d'Osne,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
18,1,5 Bis RUE DU VAL D OSNE,94410,ST MAURICE,48.818591999999995,2.424355,5 B Rue du Val d'Osne 94410 Saint-Maurice,0.73,housenumber,ADRNIVX_0000000270895882,5 B,Rue du Val d'Osne,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
19,3,40 AVENUE MAL DE LATTRE DE TASSIGNY,94410,ST MAURICE,48.821427,2.419954,40 Avenue du Maréchal de Lattre de Tassigny 94410 Saint-Maurice,0.73,housenumber,ADRNIVX_0000000270891042,40,Avenue du Maréchal de Lattre de Tassigny,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
20,3,50 AVENUE MAL DE LATTRE DE TASSIGNY,94410,ST MAURICE,48.821953,2.4199889999999997,50 Avenue du Maréchal de Lattre de Tassigny 94410 Saint-Maurice,0.73,housenumber,ADRNIVX_0000000270890360,50,Avenue du Maréchal de Lattre de Tassigny,,94410.0,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069.0
